City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,Castro,-24.7911,-50.0119,53.08,95,100,6.38,BR,2022-08-07 00:59:29
215,Severo-Kurilsk,50.6789,156.125,56.44,74,100,9.55,RU,2022-08-07 00:59:30
216,Forest Grove,45.5198,-123.1107,93.29,25,0,4.0,US,2022-08-07 00:59:30
217,Saint Marys,30.7305,-81.5465,84.25,80,0,4.61,US,2022-08-07 00:55:34
218,Ipixuna,-1.7625,-48.8043,76.75,86,100,4.72,BR,2022-08-07 00:59:32
219,Husavik,66.0449,-17.3389,52.0,86,100,3.44,IS,2022-08-07 00:59:32
220,Qasigiannguit,68.8193,-51.1922,37.99,98,100,4.18,GL,2022-08-07 00:59:32
221,Cerignola,41.264,15.9005,77.9,43,0,7.43,IT,2022-08-07 00:59:33
222,Sambava,-14.2667,50.1667,65.66,86,5,8.63,MG,2022-08-07 00:59:33
223,Naze,28.3667,129.4833,85.12,73,0,2.15,JP,2022-08-07 00:59:34
224,Usak,38.5,29.4167,66.56,66,0,7.43,TR,2022-08-07 00:59:34
225,Tamale,9.4008,-0.8393,74.41,73,33,4.12,GH,2022-08-07 00:59:35
226,Myre,69.1036,15.9492,51.75,87,100,13.24,NO,2022-08-07 00:59:35
227,Presidencia Roque Saenz Pena,-26.7852,-60.4388,51.22,88,0,5.66,AR,2022-08-07 00:59:36
228,Monroe,43.1501,-77.6831,79.86,88,37,4.47,US,2022-08-07 00:55:32
229,Jumla,29.2747,82.1838,62.44,96,100,2.06,NP,2022-08-07 01:00:37
230,Sisophon,13.5859,102.9737,78.24,87,100,5.12,KH,2022-08-07 01:00:37
231,Frunze,48.6686,38.7544,67.89,41,6,4.41,UA,2022-08-07 01:00:38
232,Avila,40.5833,-5.0,72.64,33,0,4.92,ES,2022-08-07 01:00:38
233,Agaro,7.85,36.65,57.07,97,79,1.99,ET,2022-08-07 01:00:39
234,Kindu,-2.95,25.95,73.62,67,100,1.1,CD,2022-08-07 01:00:39
235,Morondava,-20.2833,44.2833,65.17,83,0,4.14,MG,2022-08-07 01:00:40
236,Arlit,18.7369,7.3853,96.58,23,18,3.87,NE,2022-08-07 01:00:41
237,Kiruna,67.8557,20.2251,49.12,71,100,13.8,SE,2022-08-07 01:00:41
238,Yellowknife,62.456,-114.3525,59.56,94,75,2.3,CA,2022-08-07 00:58:20
239,Fayetteville,35.0527,-78.8784,85.48,72,100,1.01,US,2022-08-07 00:59:32
