City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
458,Krasnovishersk,RU,77.31,broken clouds,60.4078,57.082,Vishera hotel
459,Bellview,US,81.79,clear sky,30.4616,-87.315,Hospitality Inn Management Co
463,Vanimo,PG,84.49,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
465,Ayagoz,KZ,75.18,overcast clouds,47.9714,80.4392,Gostinitsa Nur
466,Matara,LK,82.36,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
472,Seoul,KR,88.99,broken clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
473,Port Blair,IN,82.44,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
474,Cotonou,BJ,75.18,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
475,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
476,Dhidhdhoo,MV,80.91,broken clouds,6.8833,73.1,Dhidhoo beach
477,Tura,IN,88.48,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
480,Changji,CN,84.99,clear sky,44.0167,87.3167,Lvye Holiday Resort
483,Hirado,JP,84.24,few clouds,33.3597,129.5531,Samson Hotel
484,Kupang,ID,85.17,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
485,Aiken,US,75.79,light rain,33.5835,-81.5998,Aiken Cottages
486,Meulaboh,ID,84.52,broken clouds,4.1363,96.1285,Kost Pria
496,Fukue,JP,88.16,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
497,Awbari,LY,80.69,clear sky,26.5921,12.7805,فندق أوباري
498,Kilindoni,TZ,75.88,broken clouds,-7.9139,39.6668,Bustani B&B
502,Yayva,RU,78.17,few clouds,59.3303,57.2641,Usad'ba
508,Manaus,BR,81.09,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
512,West Bay,KY,81.0,overcast clouds,19.3667,-81.4167,Calypso Cove
515,Ambulu,ID,81.39,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
516,Paracuru,BR,80.11,clear sky,-3.41,-39.0306,Hotel Vento Brasil
523,Elizabeth City,US,81.01,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
524,Roebourne,AU,77.58,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
527,Muli,MV,81.64,light rain,2.9167,73.5667,Medhufushi Island Resort
528,Karatau,KZ,84.06,broken clouds,43.1667,70.4667,Baza Zika
532,Namatanai,PG,82.83,light rain,-3.6667,152.4333,Seagulls Inn Namatani
543,Wufeng,CN,75.2,scattered clouds,27.45,104.8333,中山宾馆
545,Myitkyina,MM,88.09,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
546,Zhezkazgan,KZ,76.98,clear sky,47.8043,67.7144,Hotel Zumrat
552,Celestun,MX,75.31,broken clouds,20.8667,-90.4,Posada Lilia
556,Goderich,CA,79.12,few clouds,43.7501,-81.7165,Harmony Inn
557,Osa,RU,76.12,few clouds,57.2829,55.4567,Гостиница Оса
559,Maumere,ID,83.07,scattered clouds,-8.6199,122.2111,Sylvia Hotel
563,Bandarbeyla,SO,80.47,broken clouds,9.4942,50.8122,JABIR HOTEL
564,Manzanillo,CU,77.4,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
565,Lakhtar,IN,87.49,overcast clouds,22.85,71.7833,Firdaus Society
566,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
568,Jiwani,PK,81.66,broken clouds,25.05,61.7417,Hamza hotel jiwani
575,Fethiye,TR,75.07,clear sky,36.6217,29.1164,Club & Hotel Letoonia
580,Erzin,TR,79.74,few clouds,36.9559,36.2,Artemis Otel
581,Cairns,AU,85.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
583,Cagsiay,PH,78.44,moderate rain,14.2167,121.75,"Sitio Maligaya, Barangay Cagsiay I"
586,Najran,SA,81.25,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
590,Iskateley,RU,77.56,clear sky,67.6803,53.1512,Hostel Agat
592,Shimoda,JP,84.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
593,Sorong,ID,83.61,broken clouds,-0.8833,131.25,Waigo Splash Hotel
